tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,33792,6998,9300854,146892,2017-08-01 16:23:56+00:00
892177421306343426,29312,5297,9300854,146892,2017-08-01 00:17:27+00:00
891815181378084864,22041,3477,9300854,146892,2017-07-31 00:18:03+00:00
891689557279858688,36915,7219,9300854,146892,2017-07-30 15:58:51+00:00
891327558926688256,35294,7752,9300854,146892,2017-07-29 16:00:24+00:00
890971913173991426,10359,1659,9300855,146892,2017-07-28 16:27:12+00:00
890729181411237888,56826,15745,9300856,146892,2017-07-28 00:22:40+00:00
890609185150312448,24500,3615,9300856,146892,2017-07-27 16:25:51+00:00
890240255349198849,27943,6092,9300856,146892,2017-07-26 15:59:51+00:00
890006608113172480,27023,6145,9300856,146892,2017-07-26 00:31:25+00:00
889880896479866881,24548,4160,9300857,146892,2017-07-25 16:11:53+00:00
889665388333682689,42020,8340,9300857,146892,2017-07-25 01:55:32+00:00
889638837579907072,23656,3709,9300857,146892,2017-07-25 00:10:02+00:00
889531135344209921,13347,1878,9300857,146892,2017-07-24 17:02:04+00:00
888917238123831296,25618,3758,9300857,146892,2017-07-23 00:22:39+00:00
888804989199671297,22453,3531,9300857,146892,2017-07-22 16:56:37+00:00
888554962724278272,17312,2876,9300857,146892,2017-07-22 00:23:06+00:00
888078434458587136,19142,2892,9300857,146892,2017-07-20 16:49:33+00:00
887705289381826560,26599,4531,9300857,146892,2017-07-19 16:06:48+00:00
887473957103951883,60156,15007,9300857,146892,2017-07-19 00:47:34+00:00
887101392804085760,26965,4986,9300859,146892,2017-07-18 00:07:08+00:00
886736880519319552,10493,2626,9300858,146892,2017-07-16 23:58:41+00:00
886680336477933568,19717,3732,9300858,146892,2017-07-16 20:14:00+00:00
886366144734445568,18537,2628,9300858,146892,2017-07-15 23:25:31+00:00
886267009285017600,105,4,9300858,146892,2017-07-15 16:51:35+00:00
886258384151887873,24495,5281,9301308,146896,2017-07-15 16:17:19+00:00
885984800019947520,28589,5607,9300858,146892,2017-07-14 22:10:11+00:00
885518971528720385,17990,3105,9300857,146892,2017-07-13 15:19:09+00:00
885311592912609280,0,15418,9300857,146892,2017-07-13 01:35:06+00:00
885167619883638784,19240,3666,9300857,146892,2017-07-12 16:03:00+00:00
884925521741709313,67252,15009,9300857,146892,2017-07-12 00:01:00+00:00
884876753390489601,24377,4670,9300857,146892,2017-07-11 20:47:12+00:00
884562892145688576,21303,3907,9300858,146892,2017-07-11 00:00:02+00:00
884441805382717440,23857,4787,9300858,146892,2017-07-10 15:58:53+00:00
884247878851493888,63249,16901,9300858,146892,2017-07-10 03:08:17+00:00
883482846933004288,40178,8260,9300858,146892,2017-07-08 00:28:19+00:00
883360690899218434,19936,3074,9300858,146892,2017-07-07 16:22:55+00:00
883117836046086144,32501,5530,9300858,146892,2017-07-07 00:17:54+00:00
882762694511734784,24775,4090,9300859,146892,2017-07-06 00:46:41+00:00
882627270321602560,24592,5061,9300859,146892,2017-07-05 15:48:34+00:00
882268110199369728,39172,9618,9300858,146892,2017-07-04 16:01:23+00:00
882045870035918850,25712,4079,9300858,146892,2017-07-04 01:18:17+00:00
881906580714921986,21436,2852,9300858,146892,2017-07-03 16:04:48+00:00
881666595344535552,44523,8949,9300858,146892,2017-07-03 00:11:11+00:00
881633300179243008,113,8,9300858,146892,2017-07-02 21:58:53+00:00
881536004380872706,43423,13389,9300858,146892,2017-07-02 15:32:16+00:00
881268444196462592,20472,4489,9300858,146892,2017-07-01 21:49:04+00:00
880935762899988482,15046,2332,9300861,146892,2017-06-30 23:47:07+00:00
880872448815771648,18708,3200,9300862,146892,2017-06-30 19:35:32+00:00
880465832366813184,25016,5209,9300862,146892,2017-06-29 16:39:47+00:00
880221127280381952,23655,3461,9300862,146892,2017-06-29 00:27:25+00:00
880095782870896641,24316,3650,9300862,146892,2017-06-28 16:09:20+00:00
879862464715927552,19691,2926,9300862,146892,2017-06-28 00:42:13+00:00
879674319642796034,282,9,9300862,146892,2017-06-27 12:14:36+00:00
879492040517615616,20698,2628,9300864,146892,2017-06-27 00:10:17+00:00
879415818425184262,92797,37417,9300864,146892,2017-06-26 19:07:24+00:00
879376492567855104,14849,2645,9300863,146892,2017-06-26 16:31:08+00:00
879130579576475649,0,5736,9300865,146892,2017-06-26 00:13:58+00:00
879050749262655488,19797,3953,9300865,146892,2017-06-25 18:56:45+00:00
879008229531029506,16773,2240,9300866,146892,2017-06-25 16:07:47+00:00
878776093423087618,17124,3430,9300866,146892,2017-06-25 00:45:22+00:00
